,date,author,issues,title,organization,link
0,2025-12-01,"Janatan Sayeh , ","['', 'Iran']","IRAN’S AGGRESSIVE POSTURE, SANCTIONS EVASION, AND FAKE REFORM",THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/irans-aggressive-posture-sanctions-evasion-and-fake-reform/
1,2025-12-01,RADM (Ret.) Mark Montgomery ,['Military and Political Power'],WHAT WILL U.S. MILITARY ACTION IN VENEZUELA ACHIEVE?,WASHINGTON WATCH WITH TONY PERKINS,https://www.fdd.org/in_the_news/2025/12/01/what-will-u-s-military-action-in-venezuela-achieve/
2,2025-12-01,Ivana Stradner ,"['Russia', 'Ukraine']",WITKOFF TRAVELS TO MOSCOW FOR MEETING WITH PUTIN,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/12/01/witkoff-travels-to-moscow-for-meeting-with-putin/
3,2025-12-01,Ivana Stradner ,"['Russia', 'Ukraine']",PRODUCTIVE UKRAINE PEACE TALKS IN FLORIDA AS ZELENSKYY VISITS FRANCE,DEUTSCHE WELLE,https://www.fdd.org/in_the_news/2025/12/01/productive-ukraine-peace-talks-in-florida-as-zelenskyy-visits-france/
4,2025-12-01,Ivana Stradner ,"['Russia', 'Ukraine']",TRUMP ENVOY HEADS TO MOSCOW FOR PUTIN TALKS,FOX LIVENOW,https://www.fdd.org/in_the_news/2025/12/01/trump-envoy-heads-to-moscow-for-putin-talks/
5,2025-12-01,RADM (Ret.) Mark Montgomery ,"['Cyber', 'Lawfare']",GRADING THE TRUMP ADMINISTRATION’S CYBERSECURITY EFFORTS,THE LAWFARE PODCAST,https://www.fdd.org/in_the_news/2025/12/01/grading-the-trump-administrations-cybersecurity-efforts/
6,2025-11-30,Hussain Abdul-Hussain ,"['Iran', 'Israel', 'Kurds', 'Syria']","US, ISRAEL, DON’T ABANDON US TO IRAN, KURDISTAN FREEDOM PARTY LEADER, MILITARY CHIEF TELLS ‘POST’",THE JERUSALEM POST,https://www.jpost.com/middle-east/article-876722
7,2025-11-30,Ivana Stradner ,"['Russia', 'Ukraine']",U.S. OFFICIALS HEAD TO MOSCOW FOR UKRAINE PEACE TALKS,TIMES RADIO,https://www.fdd.org/in_the_news/2025/11/30/u-s-officials-head-to-moscow-for-ukraine-peace-talks/
8,2025-11-30,Bill Roggio ,['Domestic Extremism'],D.C. NATIONAL GUARD SHOOTING SUSPECT IDENTIFIED AS AFGHAN NATIONAL,NEWSMAX,https://www.fdd.org/in_the_news/2025/11/30/d-c-national-guard-shooting-suspect-identified-as-afghan-national/
9,2025-11-29,Ivana Stradner ,"['Russia', 'Ukraine']",UKRAINE TOP AIDE RESIGNS AMID ANTI-CORRUPTION PROBE,FOX LIVENOW,https://www.fdd.org/in_the_news/2025/11/29/ukraine-top-aide-resigns-amid-anti-corruption-probe/
10,2025-11-28,RADM (Ret.) Mark Montgomery ,"['Artificial Intelligence (AI)', 'Cyber']",THE U.S. HAS BEEN CUTTING CYBER DEFENSES AS AI BOOSTS ATTACKS,THE WASHINGTON POST,https://www.washingtonpost.com/technology/2025/11/28/cyberdefense-ai-cisa/
11,2025-11-28,RADM (Ret.) Mark Montgomery ,"['Russia', 'Ukraine']",ZELENSKYY’S CHIEF OF STAFF RESIGNS AMID CORRUPTION INVESTIGATION,FOX LIVENOW,https://www.fdd.org/in_the_news/2025/11/28/zelenskyys-chief-of-staff-resigns-amid-corruption-investigation/
12,2025-11-28,Behnam Ben Taleblu ,"['Iran', 'Israel']",AFTER THE IRAN STRIKES: MAJOR THREAT REMAINS,PRESTON STEWART,https://www.fdd.org/in_the_news/2025/11/28/after-the-iran-strikes-major-threat-remains/
13,2025-11-27,Craig Singleton ,"['China', 'Indo-Pacific']",TRUMP IS SILENT ON TAIWAN AFTER TALKING TO XI—AND THAT IS FINE WITH TAIPEI,THE WALL STREET JOURNAL,https://www.wsj.com/world/china/trump-is-silent-on-taiwan-after-talking-to-xiand-that-is-fine-with-taipei-8a20ddcc?gaa_at=eafs&gaa_n=AWEtsqccIcoL9mPoCiBq8v8Su1oxxo3SaESQ-d5qKRFs_H0nI291mosPdfhi_GUTCm8%3D&gaa_ts=692d2682&gaa_sig=gSeshzSkTftawi_v9uHf8kVCBS8Mw8HOONccFam523nE2JdXk8-su2dBOuA815lpgaqeB8cM8m5Pp5qyj-gFCA%3D%3D
14,2025-11-27,Saeed Ghasseminejad ,['Iran'],SAVING IRAN’S ECONOMY AFTER THE ISLAMIC REPUBLIC,MANOTO NEWS {PERSIAN},https://www.fdd.org/in_the_news/2025/11/27/saving-irans-economy-after-the-islamic-republic/
15,2025-11-26,Ryan Brobst ,"['Gulf States', 'Israel', 'Military and Political Power']","GREECE HOSTING MILITARY EXERCISES WITH ISRAEL, CYPRUS, UAE",I24 NEWS,https://www.fdd.org/in_the_news/2025/11/26/greece-hosting-military-exercises-with-israel-cyprus-uae/
16,2025-11-26,RADM (Ret.) Mark Montgomery ,['Cyber'],SECURING THE NATION’S FUTURE,CODED FOR CHAOS,https://www.fdd.org/in_the_news/2025/11/26/securing-the-nations-future/
17,2025-11-26,Edmund Fitton-Brown ,"['Israel', 'Jihadism']",ISRAEL POISED FOR MUSLIM BROTHERHOOD BAN AS NETANYAHU ALIGNS WITH US EFFORT,JEWISH NEWS SYNDICATE,https://www.jns.org/israel-poised-for-muslim-brotherhood-ban-as-netanyahu-aligns-with-us-effort/
18,2025-11-26,John Hardie ,"['Military and Political Power', 'Russia', 'Ukraine']",RUSSIA WARNS IT MAY REJECT US-UKRAINE PEACE PLAN IF IT FAILS TO UPHOLD ALASKA SUMMIT ‘UNDERSTANDINGS’,FOX NEWS,https://www.foxnews.com/world/russia-warns-may-reject-us-ukraine-peace-plan-fails-uphold-alaska-summit-understandings
19,2025-11-26,"Ryan Brobst , ","['', 'Israel', 'Military and Political Power', 'Turkey']",ARE GREECE AND ISRAEL’S DEEPENING DEFENSE TIES AN OPPORTUNITY FOR WASHINGTON?,THE GREEK CURRENT,https://www.fdd.org/in_the_news/2025/11/26/are-greece-and-israels-deepening-defense-ties-an-opportunity-for-washington/
20,2025-11-26,Ivana Stradner ,"['Russia', 'Ukraine']",U.S. PUSHES TO END RUSSIA-UKRAINE WAR,FOX LIVENOW,https://www.fdd.org/in_the_news/2025/11/26/u-s-pushes-to-end-russia-ukraine-war/
