,date,author,issues,title,organization,link
0,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
1,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
2,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
3,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
4,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
5,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
6,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
7,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
8,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
9,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
10,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
11,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
12,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
13,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
14,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
15,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
16,2025-12-01,['RADM (Ret.) Mark Montgomery '],['Military and Political Power'],WHITE HOUSE CONFIRMS SECOND STRIKE ON ALLEGED DRUG BOAT,CNN,https://www.fdd.org/in_the_news/2025/12/01/white-house-confirms-second-strike-on-alleged-drug-boat/
17,2025-12-01,['Bill Roggio '],"['Domestic Extremism', 'Jihadism']",DC NATIONAL GUARD SHOOTING AND JIHADISTS REMAIN AS A THREAT IN THE INDIAN SUBCONTINENT,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/dc-national-guard-shooting-and-jihadists-remain-as-a-threat-in-the-indian-subcontinent/
18,2025-12-01,"['John Hardie', 'Bill Roggio']","['Russia', 'Ukraine']",UKRAINE TALKS LACK FIRM POSITION AMID RUSSIAN MAXIMALIST DEMANDS,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/ukraine-talks-lack-firm-position-amid-russian-maximalist-demands/
19,2025-12-01,"['David Daoud', 'Bill Roggio']",['Lebanon'],HEZBOLLAH REGENERATION AND ISRAEL’S TARGETED KILLING OF HASHEM SAFIEDDINE,THE JOHN BATCHELOR SHOW,https://www.fdd.org/in_the_news/2025/12/01/hezbollah-regeneration-and-israels-targeted-killing-of-hashem-safieddine/
20,2025-12-02,['Behnam Ben Taleblu '],"['Energy', 'Military and Political Power', 'Sanctions and Illicit Finance']",TRUMP ADMINISTRATION TO HOLD CABINET MEETING ON VENEZUELA,NEWSMAX,https://www.fdd.org/in_the_news/2025/12/02/trump-administration-to-hold-cabinet-meeting-on-venezuela/
